date,GAZP
2016-09-19,136.59
2016-09-20,137.0
2016-09-21,136.25
2016-09-22,136.7
2016-09-23,136.7
2016-09-26,135.26
2016-09-27,133.92
2016-09-28,134.09
2016-09-29,135.31
2016-09-30,134.9
2016-10-03,135.37
2016-10-04,136.23
2016-10-05,134.8
2016-10-06,135.9
2016-10-07,136.1
2016-10-10,139.1
2016-10-11,138.98
2016-10-12,138.07
2016-10-13,137.47
2016-10-14,136.2
2016-10-17,135.57
2016-10-18,135.81
2016-10-19,135.49
2016-10-20,134.72
2016-10-21,134.96
2016-10-24,135.05
2016-10-25,135.3
2016-10-26,135.32
2016-10-27,135.04
2016-10-28,135.0
2016-10-31,138.84
2016-11-01,141.98
2016-11-02,140.81
2016-11-03,139.9
2016-11-07,138.5
2016-11-08,139.32
2016-11-09,145.62
2016-11-10,147.4
2016-11-11,147.88
2016-11-14,146.26
2016-11-15,145.9
2016-11-16,145.5
2016-11-17,147.7
2016-11-18,146.96
2016-11-21,149.6
2016-11-22,150.0
2016-11-23,149.49
2016-11-24,151.11
2016-11-25,151.31
2016-11-28,148.94
2016-11-29,147.75
2016-11-30,148.8
2016-12-01,152.81
2016-12-02,152.35
2016-12-05,153.78
2016-12-06,151.5
2016-12-07,151.95
2016-12-08,153.05
2016-12-09,152.99
2016-12-12,158.63
2016-12-13,158.95
2016-12-14,157.2
2016-12-15,158.25
2016-12-16,156.2
2016-12-19,154.6
2016-12-20,155.3
2016-12-21,153.06
2016-12-22,150.27
2016-12-23,149.05
2016-12-26,148.95
2016-12-27,150.38
2016-12-28,151.0
2016-12-29,152.62
2016-12-30,154.55
2017-01-03,157.7
2017-01-04,157.44
2017-01-05,154.0
2017-01-06,154.1
2017-01-09,154.4
2017-01-10,157.97
2017-01-11,157.01
2017-01-12,157.25
2017-01-13,157.95
2017-01-16,155.81
2017-01-17,153.65
2017-01-18,152.86
2017-01-19,150.85
2017-01-20,149.7
2017-01-23,148.1
2017-01-24,150.15
2017-01-25,147.65
2017-01-26,150.49
2017-01-27,154.09
2017-01-30,150.8
2017-01-31,149.8
2017-02-01,149.65
2017-02-02,148.8
2017-02-03,149.35
2017-02-06,148.5
2017-02-07,148.7
2017-02-08,145.2
2017-02-09,142.11
2017-02-10,140.5
2017-02-13,141.2
2017-02-14,140.62
2017-02-15,139.72
2017-02-16,139.16
2017-02-17,138.12
2017-02-20,138.5
2017-02-21,138.35
2017-02-22,136.68
2017-02-24,136.75
2017-02-27,135.07
2017-02-28,134.0
2017-03-01,133.85
2017-03-02,131.3
2017-03-03,134.8
2017-03-06,134.6
