date,LKOH
2016-09-19,3018.0
2016-09-20,3055.0
2016-09-21,3048.5
2016-09-22,3125.0
2016-09-23,3085.5
2016-09-26,3060.0
2016-09-27,3028.0
2016-09-28,3010.5
2016-09-29,3082.0
2016-09-30,3068.0
2016-10-03,3075.0
2016-10-04,3077.0
2016-10-05,3076.0
2016-10-06,3070.0
2016-10-07,3050.0
2016-10-10,3077.5
2016-10-11,3104.0
2016-10-12,3117.5
2016-10-13,3084.5
2016-10-14,3064.0
2016-10-17,3030.0
2016-10-18,3050.0
2016-10-19,3048.0
2016-10-20,3037.5
2016-10-21,3071.0
2016-10-24,3094.5
2016-10-25,3098.0
2016-10-26,3081.5
2016-10-27,3099.0
2016-10-28,3104.0
2016-10-31,3100.0
2016-11-01,3106.0
2016-11-02,2983.0
2016-11-03,2984.0
2016-11-07,2991.0
2016-11-08,3030.0
2016-11-09,3058.5
2016-11-10,3145.0
2016-11-11,3092.0
2016-11-14,3064.0
2016-11-15,3043.0
2016-11-16,3063.0
2016-11-17,3105.0
2016-11-18,3084.5
2016-11-21,3127.0
2016-11-22,3112.0
2016-11-23,3175.0
2016-11-24,3176.5
2016-11-25,3154.5
2016-11-28,3145.5
2016-11-29,3147.0
2016-11-30,3188.0
2016-12-01,3210.0
2016-12-02,3286.0
2016-12-05,3300.0
2016-12-06,3267.5
2016-12-07,3287.0
2016-12-08,3359.5
2016-12-09,3371.0
2016-12-12,3375.0
2016-12-13,3328.5
2016-12-14,3352.0
2016-12-15,3383.5
2016-12-16,3352.0
2016-12-19,3350.5
2016-12-20,3415.0
2016-12-21,3439.0
2016-12-22,3368.0
2016-12-23,3396.0
2016-12-26,3418.0
2016-12-27,3428.5
2016-12-28,3344.0
2016-12-29,3424.5
2016-12-30,3449.0
2017-01-03,3575.0
2017-01-04,3479.5
2017-01-05,3379.0
2017-01-06,3365.0
2017-01-09,3384.5
2017-01-10,3399.0
2017-01-11,3394.5
2017-01-12,3300.0
2017-01-13,3290.0
2017-01-16,3240.0
2017-01-17,3233.0
2017-01-18,3224.0
2017-01-19,3195.0
2017-01-20,3180.0
2017-01-23,3176.5
2017-01-24,3190.0
2017-01-25,3215.0
2017-01-26,3376.5
2017-01-27,3486.0
2017-01-30,3408.0
2017-01-31,3370.0
2017-02-01,3375.0
2017-02-02,3364.5
2017-02-03,3370.5
2017-02-06,3338.0
2017-02-07,3379.0
2017-02-08,3299.0
2017-02-09,3266.5
2017-02-10,3245.5
2017-02-13,3279.0
2017-02-14,3250.0
2017-02-15,3211.0
2017-02-16,3232.0
2017-02-17,3198.5
