date,OZON
2020-11-24,3033.0
2020-11-25,2954.0
2020-11-26,2944.0
2020-11-27,3025.0
2020-11-30,3071.0
2020-12-01,3059.5
2020-12-02,3184.0
2020-12-03,3614.5
2020-12-04,3556.0
2020-12-07,3422.0
2020-12-08,3471.0
2020-12-09,3301.0
2020-12-10,3294.0
2020-12-11,3164.5
2020-12-14,3069.0
2020-12-15,3201.0
2020-12-16,3357.0
2020-12-17,3211.5
2020-12-18,3264.5
2020-12-21,3264.0
2020-12-22,3231.0
2020-12-23,3222.0
2020-12-24,3149.0
2020-12-25,3150.5
2020-12-28,3290.0
2020-12-29,3232.0
2020-12-30,3289.5
2021-01-04,3229.5
2021-01-05,3348.5
2021-01-06,3257.0
2021-01-08,3376.5
2021-01-11,3382.0
2021-01-12,3530.5
2021-01-13,3491.0
2021-01-14,3636.5
2021-01-15,3805.5
2021-01-18,3795.0
2021-01-19,3972.0
2021-01-20,4001.0
2021-01-21,4057.0
2021-01-22,3980.0
2021-01-25,4014.5
2021-01-26,3901.0
2021-01-27,3560.5
2021-01-28,3846.0
2021-01-29,3662.0
2021-02-01,3867.5
2021-02-02,4016.0
2021-02-03,4023.0
2021-02-04,4185.5
2021-02-05,4650.0
2021-02-08,4969.0
2021-02-09,4665.0
2021-02-10,4883.0
2021-02-11,4726.5
2021-02-12,4753.0
2021-02-15,4739.0
2021-02-16,4765.0
2021-02-17,4420.0
2021-02-18,4573.5
2021-02-19,4884.5
2021-02-20,4864.0
2021-02-22,4938.0
2021-02-24,4557.5
2021-02-25,4330.0
2021-02-26,4480.0
2021-03-01,4703.5
2021-03-02,4602.0
2021-03-03,4490.5
2021-03-04,4226.5
2021-03-05,4073.0
2021-03-09,3831.0
2021-03-10,3844.0
2021-03-11,4064.0
2021-03-12,4114.0
2021-03-15,4201.0
2021-03-16,4147.5
2021-03-17,4170.0
2021-03-18,4179.0
2021-03-19,4217.0
2021-03-22,4175.0
2021-03-23,4086.0
2021-03-24,3953.0
2021-03-25,3955.0
2021-03-26,3958.0
2021-03-29,4006.0
2021-03-30,4011.0
2021-03-31,4235.0
2021-04-01,4435.0
2021-04-02,4387.5
2021-04-05,4395.0
2021-04-06,4474.0
2021-04-07,4567.0
2021-04-08,4490.0
2021-04-09,4650.5
2021-04-12,4724.0
2021-04-13,4739.0
2021-04-14,4751.0
2021-04-15,4730.5
2021-04-16,4760.0
2021-04-19,4659.0
2021-04-20,4605.0
2021-04-21,4671.0
2021-04-22,4702.0
2021-04-23,4860.0
2021-04-26,4979.0
2021-04-27,4902.0
2021-04-28,4807.0
2021-04-29,4671.0
2021-04-30,4669.5
2021-05-04,4522.0
2021-05-05,4444.0
2021-05-06,4397.0
2021-05-07,4282.5
2021-05-10,4019.5
2021-05-11,4197.0
2021-05-12,4080.0
2021-05-13,4011.0
2021-05-14,4136.0
2021-05-17,4015.5
2021-05-18,3720.0
2021-05-19,3941.0
2021-05-20,4017.0
2021-05-21,4051.5
2021-05-24,4198.0
2021-05-25,4033.5
2021-05-26,4038.0
2021-05-27,3871.5
2021-05-28,3893.0
2021-05-31,3936.0
2021-06-01,3958.5
2021-06-02,4038.0
2021-06-03,3979.5
2021-06-04,4043.0
2021-06-07,4061.0
2021-06-08,4153.0
2021-06-09,4148.0
2021-06-10,4158.0
2021-06-11,4134.5
2021-06-14,4153.5
2021-06-15,4061.0
2021-06-16,4129.0
2021-06-17,4160.5
2021-06-18,4230.0
2021-06-21,4232.5
2021-06-22,4260.5
2021-06-23,4243.5
2021-06-24,4309.5
2021-06-25,4221.5
2021-06-28,4350.5
2021-06-29,4327.5
2021-06-30,4308.0
2021-07-01,4255.0
2021-07-02,4260.0
2021-07-05,4267.0
2021-07-06,4214.5
2021-07-07,4153.0
2021-07-08,4099.0
2021-07-09,4129.0
2021-07-12,4079.0
2021-07-13,4009.0
2021-07-14,4026.0
2021-07-15,3990.5
2021-07-16,3989.5
2021-07-19,3997.0
2021-07-20,4007.0
2021-07-21,3971.0
2021-07-22,3966.5
2021-07-23,3950.5
2021-07-26,3874.5
2021-07-27,3818.0
2021-07-28,3881.0
2021-07-29,3888.0
2021-07-30,3818.0
2021-08-02,3831.5
2021-08-03,3822.0
2021-08-04,3804.0
2021-08-05,3795.0
2021-08-06,3849.5
2021-08-09,3936.0
2021-08-10,3847.0
2021-08-11,3831.0
2021-08-12,3909.5
2021-08-13,3820.5
2021-08-16,3829.5
2021-08-17,3831.5
2021-08-18,3839.5
2021-08-19,3734.0
2021-08-20,3656.0
2021-08-23,3738.0
2021-08-24,3939.0
2021-08-25,3901.0
2021-08-26,3906.5
2021-08-27,3890.0
2021-08-30,3893.5
2021-08-31,3850.0
2021-09-01,3863.5
2021-09-02,3799.0
2021-09-03,3806.5
2021-09-06,3791.0
2021-09-07,3810.0
2021-09-08,3769.5
2021-09-09,3641.5
2021-09-10,3694.5
2021-09-13,3708.0
2021-09-14,3694.5
2021-09-15,3791.0
2021-09-16,3796.0
2021-09-17,3729.5
2021-09-20,3693.5
2021-09-21,3680.5
2021-09-22,3708.0
2021-09-23,3770.0
2021-09-24,3687.5
2021-09-27,3701.0
2021-09-28,3641.5
2021-09-29,3648.5
2021-09-30,3675.0
2021-10-01,3627.0
2021-10-04,3513.5
2021-10-05,3507.0
2021-10-06,3531.0
2021-10-07,3545.0
2021-10-08,3545.0
2021-10-11,3484.5
2021-10-12,3368.0
2021-10-13,3345.0
2021-10-14,3301.0
2021-10-15,3364.0
2021-10-18,3490.5
2021-10-19,3474.0
2021-10-20,3417.5
2021-10-21,3389.5
2021-10-22,3307.0
2021-10-25,3348.5
2021-10-26,3246.5
2021-10-27,3268.5
2021-10-28,3285.0
2021-10-29,3190.0
2021-11-01,3236.5
2021-11-02,3191.5
2021-11-03,3219.0
2021-11-05,3139.5
2021-11-08,3174.0
2021-11-09,3151.0
2021-11-10,3139.0
2021-11-11,3096.0
2021-11-12,3085.0
2021-11-15,3145.0
2021-11-16,3113.0
2021-11-17,3201.5
2021-11-18,3471.0
2021-11-19,3365.5
2021-11-22,3179.5
2021-11-23,3098.5
2021-11-24,3055.5
2021-11-25,3077.0
2021-11-26,3028.5
2021-11-29,3041.0
2021-11-30,2993.5
2021-12-01,3012.0
2021-12-02,2888.5
2021-12-03,2681.5
2021-12-06,2665.0
2021-12-07,2698.0
2021-12-08,2694.5
2021-12-09,2622.0
2021-12-10,2528.0
2021-12-13,2446.5
2021-12-14,2350.0
2021-12-15,2290.0
2021-12-16,2404.5
2021-12-17,2413.0
2021-12-20,2249.0
2021-12-21,2300.5
2021-12-22,2294.0
2021-12-23,2252.0
2021-12-24,2263.0
2021-12-27,2290.5
