date,SNGS
2016-09-19,30.64
2016-09-20,30.8
2016-09-21,31.1
2016-09-22,31.12
2016-09-23,30.905
2016-09-26,30.645
2016-09-27,30.1
2016-09-28,30.335
2016-09-29,30.59
2016-09-30,30.71
2016-10-03,29.96
2016-10-04,29.28
2016-10-05,29.175
2016-10-06,29.355
2016-10-07,29.38
2016-10-10,29.5
2016-10-11,29.15
2016-10-12,29.1
2016-10-13,28.945
2016-10-14,28.925
2016-10-17,28.23
2016-10-18,27.955
2016-10-19,27.75
2016-10-20,27.395
2016-10-21,27.435
2016-10-24,27.08
2016-10-25,27.1
2016-10-26,27.295
2016-10-27,27.12
2016-10-28,27.235
2016-10-31,27.015
2016-11-01,27.445
2016-11-02,28.6
2016-11-03,28.5
2016-11-07,28.23
2016-11-08,28.685
2016-11-09,29.5
2016-11-10,29.5
2016-11-11,29.5
2016-11-14,29.665
2016-11-15,29.505
2016-11-16,29.415
2016-11-17,29.52
2016-11-18,29.595
2016-11-21,29.43
2016-11-22,29.18
2016-11-23,29.19
2016-11-24,29.025
2016-11-25,29.1
2016-11-28,29.125
2016-11-29,29.905
2016-11-30,29.97
2016-12-01,30.065
2016-12-02,29.635
2016-12-05,30.115
2016-12-06,30.45
2016-12-07,30.35
2016-12-08,31.0
2016-12-09,30.905
2016-12-12,30.2
2016-12-13,30.57
2016-12-14,30.5
2016-12-15,30.88
2016-12-16,31.0
2016-12-19,31.02
2016-12-20,30.87
2016-12-21,30.48
2016-12-22,29.885
2016-12-23,30.03
2016-12-26,29.775
2016-12-27,30.02
2016-12-28,30.005
2016-12-29,30.965
2016-12-30,30.95
2017-01-03,31.93
2017-01-04,31.8
2017-01-05,31.595
2017-01-06,31.69
2017-01-09,31.3
2017-01-10,31.315
2017-01-11,31.3
2017-01-12,31.36
2017-01-13,31.41
2017-01-16,31.355
2017-01-17,31.205
2017-01-18,31.12
2017-01-19,31.425
2017-01-20,31.7
2017-01-23,31.235
2017-01-24,31.38
