date,TATNP
2016-09-19,176.0
2016-09-20,175.7
2016-09-21,174.7
2016-09-22,176.0
2016-09-23,177.2
2016-09-26,177.0
2016-09-27,178.0
2016-09-28,179.0
2016-09-29,182.4
2016-09-30,181.9
2016-10-03,180.7
2016-10-04,181.2
2016-10-05,182.0
2016-10-06,184.0
2016-10-07,188.2
2016-10-10,190.5
2016-10-11,189.9
2016-10-12,188.9
2016-10-13,186.1
2016-10-14,192.1
2016-10-17,190.3
2016-10-18,190.0
2016-10-19,189.1
2016-10-20,189.7
2016-10-21,190.9
2016-10-24,191.6
2016-10-25,196.0
2016-10-26,193.9
2016-10-27,195.0
2016-10-28,196.9
2016-10-31,203.0
2016-11-01,204.1
2016-11-02,198.0
2016-11-03,196.9
2016-11-07,197.0
2016-11-08,194.7
2016-11-09,197.8
2016-11-10,197.9
2016-11-11,191.0
2016-11-14,193.8
2016-11-15,195.8
2016-11-16,197.7
2016-11-17,203.1
2016-11-18,200.0
2016-11-21,201.0
2016-11-22,200.5
2016-11-23,206.0
2016-11-24,202.3
2016-11-25,203.5
2016-11-28,201.0
2016-11-29,201.1
2016-11-30,200.3
2016-12-01,205.4
2016-12-02,206.7
2016-12-05,214.8
2016-12-06,217.6
2016-12-07,223.0
2016-12-08,223.8
2016-12-09,224.9
2016-12-12,224.2
2016-12-13,232.8
2016-12-14,231.3
2016-12-15,229.9
2016-12-16,231.2
2016-12-19,228.0
2016-12-20,229.0
2016-12-21,225.4
2016-12-22,220.2
2016-12-23,222.7
2016-12-26,220.5
2016-12-27,222.3
2016-12-28,229.4
2016-12-29,230.4
2016-12-30,235.0
2017-01-03,244.1
2017-01-04,244.0
2017-01-05,235.8
2017-01-06,233.3
2017-01-09,235.3
2017-01-10,238.6
2017-01-11,237.9
2017-01-12,238.9
2017-01-13,236.8
2017-01-16,236.0
2017-01-17,234.5
2017-01-18,231.5
2017-01-19,225.0
2017-01-20,221.5
2017-01-23,217.2
2017-01-24,219.6
2017-01-25,218.8
2017-01-26,227.0
2017-01-27,228.4
2017-01-30,227.0
2017-01-31,225.5
2017-02-01,227.0
2017-02-02,227.3
2017-02-03,228.0
2017-02-06,227.4
2017-02-07,226.6
2017-02-08,227.6
2017-02-09,227.3
2017-02-10,224.8
2017-02-13,221.4
2017-02-14,222.0
2017-02-15,222.4
2017-02-16,221.5
2017-02-17,222.0
2017-02-20,219.4
2017-02-21,219.5
2017-02-22,221.8
2017-02-24,223.9
2017-02-27,218.9
2017-02-28,212.0
2017-03-01,213.9
2017-03-02,220.6
2017-03-03,221.5
2017-03-06,222.1
2017-03-07,213.6
2017-03-09,205.1
2017-03-10,203.5
2017-03-13,208.2
2017-03-14,205.9
2017-03-15,202.4
2017-03-16,205.1
2017-03-17,214.3
2017-03-20,211.4
2017-03-21,210.7
2017-03-22,206.0
2017-03-23,205.0
2017-03-24,205.7
2017-03-27,205.9
2017-03-28,210.3
2017-03-29,208.3
2017-03-30,206.5
2017-03-31,204.2
2017-04-03,205.4
2017-04-04,203.2
2017-04-05,208.7
2017-04-06,218.4
2017-04-07,214.0
2017-04-10,210.0
2017-04-11,210.5
2017-04-12,209.1
2017-04-13,209.6
2017-04-14,208.3
2017-04-17,209.2
2017-04-18,208.0
2017-04-19,207.8
2017-04-20,207.8
2017-04-21,207.7
2017-04-24,208.0
2017-04-25,208.5
2017-04-26,212.0
2017-04-27,237.0
2017-04-28,238.1
2017-05-02,239.6
2017-05-03,236.7
2017-05-04,245.0
2017-05-05,249.9
2017-05-10,251.5
2017-05-11,262.0
2017-05-12,269.3
2017-05-15,268.8
2017-05-16,268.6
2017-05-17,269.3
2017-05-18,272.8
2017-05-19,271.7
2017-05-22,266.0
2017-05-23,270.4
2017-05-24,269.9
2017-05-25,277.6
2017-05-26,279.8
2017-05-29,286.0
2017-05-30,293.1
2017-05-31,298.9
2017-06-01,279.0
2017-06-02,280.4
2017-06-05,279.5
2017-06-06,273.7
2017-06-07,269.6
2017-06-08,267.0
2017-06-09,265.0
2017-06-13,266.3
2017-06-14,262.1
2017-06-15,260.0
2017-06-16,272.0
2017-06-19,270.0
2017-06-20,273.2
2017-06-21,268.0
2017-06-22,270.2
2017-06-23,271.1
2017-06-26,273.0
2017-06-27,271.6
2017-06-28,273.9
2017-06-29,274.1
2017-06-30,273.4
2017-07-03,279.6
2017-07-04,284.0
2017-07-05,288.0
2017-07-06,269.0
2017-07-07,267.0
2017-07-10,265.0
2017-07-11,263.2
2017-07-12,264.5
2017-07-13,263.4
2017-07-14,264.2
2017-07-17,265.0
2017-07-18,270.0
2017-07-19,272.7
2017-07-20,270.1
2017-07-21,269.4
2017-07-24,269.8
2017-07-25,263.9
2017-07-26,265.3
2017-07-27,269.0
2017-07-28,263.0
2017-07-31,264.5
2017-08-01,267.3
2017-08-02,267.0
2017-08-03,267.0
2017-08-04,264.0
2017-08-07,268.0
2017-08-08,279.0
2017-08-09,274.1
2017-08-10,275.3
2017-08-11,272.7
2017-08-14,274.2
2017-08-15,275.4
2017-08-16,274.0
2017-08-17,273.7
2017-08-18,275.0
2017-08-21,273.7
2017-08-22,273.9
2017-08-23,274.0
2017-08-24,275.3
2017-08-25,276.3
2017-08-28,273.7
2017-08-29,275.4
2017-08-30,271.6
2017-08-31,270.0
2017-09-01,265.0
2017-09-04,262.0
2017-09-05,259.8
2017-09-06,264.1
2017-09-07,263.1
2017-09-08,270.0
2017-09-11,270.1
2017-09-12,270.9
2017-09-13,272.0
2017-09-14,276.9
2017-09-15,276.0
2017-09-18,285.2
2017-09-19,286.6
2017-09-20,289.9
2017-09-21,295.0
2017-09-22,291.8
2017-09-25,293.0
2017-09-26,290.5
2017-09-27,291.8
2017-09-28,290.5
2017-09-29,289.1
2017-10-02,289.9
2017-10-03,291.4
2017-10-04,293.0
2017-10-05,296.5
2017-10-06,301.5
2017-10-09,300.5
2017-10-10,300.9
2017-10-11,307.0
2017-10-12,304.4
2017-10-13,308.0
2017-10-16,313.5
2017-10-17,308.8
2017-10-18,308.4
2017-10-19,304.7
2017-10-20,306.3
2017-10-23,307.8
2017-10-24,307.5
2017-10-25,301.8
2017-10-26,300.0
2017-10-27,308.9
2017-10-30,311.7
2017-10-31,316.8
2017-11-01,318.6
2017-11-02,317.1
2017-11-03,324.0
2017-11-07,359.6
2017-11-08,353.1
2017-11-09,353.5
2017-11-10,350.0
2017-11-13,353.3
2017-11-14,353.0
2017-11-15,345.1
2017-11-16,341.0
2017-11-17,343.3
2017-11-20,345.2
2017-11-21,354.5
2017-11-22,355.6
2017-11-23,356.0
2017-11-24,352.0
2017-11-27,349.6
2017-11-28,346.6
2017-11-29,341.8
2017-11-30,353.9
2017-12-01,353.6
2017-12-04,369.8
2017-12-05,371.6
2017-12-06,380.6
2017-12-07,381.0
2017-12-08,375.6
2017-12-11,383.4
2017-12-12,394.0
2017-12-13,390.0
2017-12-14,383.1
2017-12-15,395.0
2017-12-18,392.6
2017-12-19,391.5
2017-12-20,390.0
2017-12-21,367.9
2017-12-22,368.0
2017-12-25,361.1
2017-12-26,359.5
2017-12-27,369.8
2017-12-28,369.9
2017-12-29,365.0
2018-01-03,367.7
2018-01-04,368.7
2018-01-05,371.8
2018-01-09,380.2
2018-01-10,382.0
2018-01-11,391.7
2018-01-12,391.6
2018-01-15,389.5
2018-01-16,392.0
2018-01-17,397.6
2018-01-18,417.5
2018-01-19,409.3
2018-01-22,415.1
2018-01-23,414.6
2018-01-24,410.0
2018-01-25,413.3
2018-01-26,412.5
2018-01-29,412.6
2018-01-30,407.5
2018-01-31,409.0
2018-02-01,410.0
2018-02-02,411.0
2018-02-05,408.4
2018-02-06,402.5
2018-02-07,405.0
2018-02-08,395.3
2018-02-09,388.9
2018-02-12,390.0
2018-02-13,390.2
2018-02-14,389.0
2018-02-15,396.6
2018-02-16,400.1
2018-02-19,402.2
2018-02-20,414.8
2018-02-21,411.5
2018-02-22,418.1
2018-02-26,425.2
2018-02-27,419.5
2018-02-28,402.8
2018-03-01,406.8
2018-03-02,408.0
2018-03-05,407.0
2018-03-06,417.4
2018-03-07,408.0
2018-03-09,410.2
2018-03-12,419.6
2018-03-13,420.0
2018-03-14,411.1
2018-03-15,415.3
2018-03-16,393.5
2018-03-19,402.5
2018-03-20,406.4
2018-03-21,411.4
2018-03-22,410.4
2018-03-23,405.8
2018-03-26,413.0
2018-03-27,414.0
2018-03-28,413.1
2018-03-29,413.0
2018-03-30,416.0
2018-04-02,424.7
2018-04-03,420.2
2018-04-04,422.2
2018-04-05,424.2
2018-04-06,424.9
2018-04-09,410.3
2018-04-10,422.3
2018-04-11,418.5
2018-04-12,424.9
2018-04-13,430.2
2018-04-16,450.0
2018-04-17,432.6
2018-04-18,430.2
2018-04-19,430.0
2018-04-20,437.6
2018-04-23,444.6
2018-04-24,453.0
2018-04-25,460.0
2018-04-26,476.7
2018-04-27,466.9
2018-04-28,464.4
2018-04-30,475.5
2018-05-02,473.7
2018-05-03,458.5
2018-05-04,465.7
2018-05-07,461.6
2018-05-08,462.8
2018-05-10,478.2
2018-05-11,486.5
2018-05-14,500.1
2018-05-15,495.3
2018-05-16,500.0
2018-05-17,495.0
2018-05-18,500.1
2018-05-21,485.0
2018-05-22,493.9
2018-05-23,485.0
2018-05-24,480.3
2018-05-25,474.9
2018-05-28,469.0
2018-05-29,461.3
2018-05-30,467.5
2018-05-31,458.0
2018-06-01,461.5
2018-06-04,464.6
2018-06-05,463.0
2018-06-06,455.9
2018-06-07,461.6
2018-06-08,463.5
2018-06-09,464.7
2018-06-11,463.6
2018-06-13,465.0
2018-06-14,465.7
2018-06-15,483.5
2018-06-18,479.0
2018-06-19,462.7
2018-06-20,473.0
2018-06-21,474.0
2018-06-22,466.4
2018-06-25,470.0
2018-06-26,457.8
2018-06-27,466.7
2018-06-28,460.0
2018-06-29,465.1
2018-07-02,458.2
2018-07-03,457.0
2018-07-04,458.4
2018-07-05,454.5
2018-07-06,460.6
2018-07-09,467.1
2018-07-10,473.6
2018-07-11,480.3
2018-07-12,478.6
2018-07-13,477.0
2018-07-16,480.4
2018-07-17,482.3
2018-07-18,484.0
2018-07-19,485.1
2018-07-20,478.6
2018-07-23,481.2
2018-07-24,483.5
2018-07-25,479.1
2018-07-26,481.3
2018-07-27,477.0
2018-07-30,481.2
2018-07-31,482.0
2018-08-01,483.2
2018-08-02,484.0
