date,VTBR
2016-09-20,0.0745
2016-09-21,0.07471
2016-09-22,0.07585
2016-09-23,0.07529
2016-09-26,0.0748
2016-09-27,0.073
2016-09-28,0.07272
2016-09-29,0.0733
2016-09-30,0.0721
2016-10-03,0.07183
2016-10-04,0.07145
2016-10-05,0.0701
2016-10-06,0.07015
2016-10-07,0.07018
2016-10-10,0.07076
2016-10-11,0.0702
2016-10-12,0.0691
2016-10-13,0.06869
2016-10-14,0.0678
2016-10-17,0.06756
2016-10-18,0.06805
2016-10-19,0.0687
2016-10-20,0.06715
2016-10-21,0.06753
2016-10-24,0.06879
2016-10-25,0.06925
2016-10-26,0.06915
2016-10-27,0.06801
2016-10-28,0.06822
2016-10-31,0.06775
2016-11-01,0.06877
2016-11-02,0.0675
2016-11-03,0.06754
2016-11-07,0.06753
2016-11-08,0.06797
2016-11-09,0.0692
2016-11-10,0.06877
2016-11-11,0.06821
2016-11-14,0.06799
2016-11-15,0.06804
2016-11-16,0.06815
2016-11-17,0.06802
2016-11-18,0.06775
2016-11-21,0.0685
2016-11-22,0.06821
2016-11-23,0.06875
2016-11-24,0.0683
2016-11-25,0.0685
2016-11-28,0.06875
2016-11-29,0.06876
2016-11-30,0.0694
2016-12-01,0.06831
2016-12-02,0.06835
2016-12-05,0.06866
2016-12-06,0.068
2016-12-07,0.06815
2016-12-08,0.069
2016-12-09,0.07523
2016-12-12,0.0734
2016-12-13,0.0736
2016-12-14,0.07228
2016-12-15,0.0723
2016-12-16,0.0737
2016-12-19,0.07255
2016-12-20,0.07259
2016-12-21,0.07175
2016-12-22,0.0715
2016-12-23,0.07204
2016-12-26,0.0713
2016-12-27,0.07278
2016-12-28,0.07302
2016-12-29,0.07399
2016-12-30,0.074
2017-01-03,0.07401
2017-01-04,0.07315
2017-01-05,0.07149
2017-01-06,0.07097
2017-01-09,0.07058
2017-01-10,0.07125
2017-01-11,0.07021
2017-01-12,0.06955
2017-01-13,0.06925
2017-01-16,0.06941
2017-01-17,0.06921
2017-01-18,0.06861
2017-01-19,0.06869
2017-01-20,0.06843
2017-01-23,0.06868
2017-01-24,0.0685
2017-01-25,0.0685
2017-01-26,0.06909
2017-01-27,0.0697
2017-01-30,0.0694
2017-01-31,0.06897
2017-02-01,0.06947
2017-02-02,0.06909
2017-02-03,0.06929
2017-02-06,0.06868
2017-02-07,0.06879
2017-02-08,0.0687
2017-02-09,0.0687
2017-02-10,0.06843
2017-02-13,0.06816
2017-02-14,0.06788
2017-02-15,0.06777
2017-02-16,0.06799
2017-02-17,0.06793
2017-02-20,0.06799
2017-02-21,0.06792
2017-02-22,0.06742
2017-02-24,0.06715
2017-02-27,0.06675
2017-02-28,0.06608
2017-03-01,0.06725
2017-03-02,0.066
2017-03-03,0.066
2017-03-06,0.066
2017-03-07,0.066
2017-03-09,0.0646
2017-03-10,0.06505
2017-03-13,0.06526
2017-03-14,0.06506
2017-03-15,0.06514
2017-03-16,0.0655
2017-03-17,0.06625
2017-03-20,0.0672
2017-03-21,0.0668
2017-03-22,0.06697
2017-03-23,0.06678
2017-03-24,0.0664
2017-03-27,0.0655
2017-03-28,0.06552
2017-03-29,0.06619
2017-03-30,0.0668
2017-03-31,0.06625
2017-04-03,0.06686
2017-04-04,0.0671
2017-04-05,0.0669
2017-04-06,0.06615
2017-04-07,0.06559
2017-04-10,0.06473
2017-04-11,0.0649
2017-04-12,0.0641
2017-04-13,0.064
2017-04-14,0.06409
2017-04-17,0.0642
2017-04-18,0.064
2017-04-19,0.064
2017-04-20,0.0644
2017-04-21,0.065
2017-04-24,0.06515
2017-04-25,0.06612
2017-04-26,0.06843
2017-04-27,0.06671
2017-04-28,0.06671
2017-05-02,0.06737
2017-05-03,0.0675
2017-05-04,0.0671
2017-05-05,0.06573
2017-05-10,0.0669
2017-05-11,0.06589
2017-05-12,0.06567
2017-05-15,0.0666
2017-05-16,0.067
2017-05-17,0.0666
2017-05-18,0.06554
2017-05-19,0.06639
2017-05-22,0.06565
2017-05-23,0.06721
2017-05-24,0.06702
2017-05-25,0.06694
2017-05-26,0.06637
2017-05-29,0.066
2017-05-30,0.06594
2017-05-31,0.06615
2017-06-01,0.06473
2017-06-02,0.0652
2017-06-05,0.06505
2017-06-06,0.06435
2017-06-07,0.06411
2017-06-08,0.0645
2017-06-09,0.06525
2017-06-13,0.0645
2017-06-14,0.064
2017-06-15,0.0639
2017-06-16,0.0639
2017-06-19,0.06322
2017-06-20,0.0639
2017-06-21,0.06334
2017-06-22,0.0639
2017-06-23,0.064
2017-06-26,0.06349
2017-06-27,0.06338
2017-06-28,0.0638
2017-06-29,0.0639
2017-06-30,0.064
2017-07-03,0.0643
2017-07-04,0.0644
2017-07-05,0.064
2017-07-06,0.06387
2017-07-07,0.06368
2017-07-10,0.0638
2017-07-11,0.06387
2017-07-12,0.064
2017-07-13,0.06371
2017-07-14,0.0638
2017-07-17,0.06387
2017-07-18,0.0635
2017-07-19,0.0641
2017-07-20,0.0649
2017-07-21,0.06373
2017-07-24,0.0635
2017-07-25,0.0635
2017-07-26,0.0636
2017-07-27,0.06341
2017-07-28,0.0609
2017-07-31,0.05969
2017-08-01,0.06005
2017-08-02,0.06171
2017-08-03,0.06186
2017-08-04,0.06082
2017-08-07,0.06211
2017-08-08,0.06206
2017-08-09,0.06199
2017-08-10,0.06068
2017-08-11,0.06
2017-08-14,0.0605
2017-08-15,0.06102
2017-08-16,0.06037
2017-08-17,0.06
2017-08-18,0.05945
2017-08-21,0.05925
2017-08-22,0.0594
2017-08-23,0.06048
2017-08-24,0.06092
2017-08-25,0.0602
2017-08-28,0.06017
2017-08-29,0.05999
2017-08-30,0.0648
2017-08-31,0.06456
2017-09-01,0.06345
2017-09-04,0.06163
2017-09-05,0.0601
2017-09-06,0.0602
2017-09-07,0.0601
2017-09-08,0.0616
2017-09-11,0.06211
2017-09-12,0.06373
2017-09-13,0.06239
2017-09-14,0.06289
2017-09-15,0.0616
2017-09-18,0.06227
2017-09-19,0.06188
2017-09-20,0.0618
2017-09-21,0.06163
2017-09-22,0.06129
2017-09-25,0.06254
2017-09-26,0.06233
2017-09-27,0.06163
2017-09-28,0.06191
2017-09-29,0.06159
2017-10-02,0.06144
2017-10-03,0.06161
2017-10-04,0.0614
2017-10-05,0.0612
2017-10-06,0.06145
2017-10-09,0.06157
2017-10-10,0.06158
2017-10-11,0.06118
2017-10-12,0.0612
2017-10-13,0.061
2017-10-16,0.06115
2017-10-17,0.0606
2017-10-18,0.06023
2017-10-19,0.06021
2017-10-20,0.06025
2017-10-23,0.06025
2017-10-24,0.06104
2017-10-25,0.06043
2017-10-26,0.06022
2017-10-27,0.06049
2017-10-30,0.06023
2017-10-31,0.06
2017-11-01,0.05995
2017-11-02,0.05976
2017-11-03,0.0595
2017-11-07,0.06075
2017-11-08,0.0601
2017-11-09,0.06127
2017-11-10,0.06011
2017-11-13,0.06001
2017-11-14,0.0588
2017-11-15,0.05549
2017-11-16,0.05205
2017-11-17,0.05338
2017-11-20,0.05398
2017-11-21,0.0532
2017-11-22,0.0529
2017-11-23,0.05222
2017-11-24,0.05338
2017-11-27,0.05267
2017-11-28,0.0528
2017-11-29,0.0522
2017-11-30,0.05078
2017-12-01,0.0516
2017-12-04,0.051
2017-12-05,0.05086
2017-12-06,0.0515
2017-12-07,0.05103
2017-12-08,0.05066
2017-12-11,0.05122
2017-12-12,0.05125
2017-12-13,0.0501
2017-12-14,0.0504
